dataset,k,m,center,normalize,gaussian,best_lambda,best_score,all_lambdas,all_scores
0,3,0,True,True,None,0.0005994842503189409,0.5815,"[1e-06, 3.5938136638046257e-06, 1.2915496650148827e-05, 4.641588833612782e-05, 0.0001668100537200059, 0.0005994842503189409, 0.0021544346900318843, 0.007742636826811277, 0.02782559402207126, 0.1]","[0.5751666666666666, 0.5738333333333332, 0.5808333333333332, 0.5783333333333333, 0.5675, 0.5815, 0.5785, 0.5618333333333333, 0.5611666666666667, 0.5573333333333335]"
0,3,0,True,True,2000,1.2915496650148827e-05,0.5861666666666667,"[1e-06, 3.5938136638046257e-06, 1.2915496650148827e-05, 4.641588833612782e-05, 0.0001668100537200059, 0.0005994842503189409, 0.0021544346900318843, 0.007742636826811277, 0.02782559402207126, 0.1]","[0.5508333333333334, 0.5640000000000001, 0.5861666666666667, 0.5845, 0.5801666666666667, 0.5849999999999999, 0.5764999999999999, 0.5596666666666666, 0.5521666666666667, 0.5595000000000001]"
0,3,1,True,True,None,0.0001668100537200059,0.5833333333333334,"[1e-06, 3.5938136638046257e-06, 1.2915496650148827e-05, 4.641588833612782e-05, 0.0001668100537200059, 0.0005994842503189409, 0.0021544346900318843, 0.007742636826811277, 0.02782559402207126, 0.1]","[0.5768333333333335, 0.5765, 0.5788333333333334, 0.5798333333333334, 0.5833333333333334, 0.5761666666666667, 0.5566666666666668, 0.5079999999999999, 0.4988333333333334, 0.4938333333333334]"
0,3,1,True,True,2000,0.0005994842503189409,0.5903333333333334,"[1e-06, 3.5938136638046257e-06, 1.2915496650148827e-05, 4.641588833612782e-05, 0.0001668100537200059, 0.0005994842503189409, 0.0021544346900318843, 0.007742636826811277, 0.02782559402207126, 0.1]","[0.5525, 0.5609999999999999, 0.5648333333333333, 0.5833333333333335, 0.586, 0.5903333333333334, 0.5606666666666666, 0.5348333333333334, 0.5128333333333334, 0.5326666666666666]"
0,4,0,True,True,None,0.0005994842503189409,0.5968333333333332,"[1e-06, 3.5938136638046257e-06, 1.2915496650148827e-05, 4.641588833612782e-05, 0.0001668100537200059, 0.0005994842503189409, 0.0021544346900318843, 0.007742636826811277, 0.02782559402207126, 0.1]","[0.5865000000000001, 0.5886666666666667, 0.5864999999999999, 0.5965, 0.5898333333333333, 0.5968333333333332, 0.5903333333333334, 0.5693333333333332, 0.5740000000000001, 0.5735]"
0,4,0,True,True,2000,0.0001668100537200059,0.6,"[1e-06, 3.5938136638046257e-06, 1.2915496650148827e-05, 4.641588833612782e-05, 0.0001668100537200059, 0.0005994842503189409, 0.0021544346900318843, 0.007742636826811277, 0.02782559402207126, 0.1]","[0.5861666666666667, 0.5948333333333334, 0.5966666666666666, 0.5986666666666667, 0.6, 0.5918333333333333, 0.5884999999999999, 0.5713333333333334, 0.5698333333333333, 0.5723333333333334]"
0,4,1,True,True,None,4.641588833612782e-05,0.6011666666666667,"[1e-06, 3.5938136638046257e-06, 1.2915496650148827e-05, 4.641588833612782e-05, 0.0001668100537200059, 0.0005994842503189409, 0.0021544346900318843, 0.007742636826811277, 0.02782559402207126, 0.1]","[0.5881666666666667, 0.5881666666666667, 0.5894999999999999, 0.6011666666666667, 0.6003333333333333, 0.5911666666666667, 0.5785, 0.5478333333333334, 0.5436666666666667, 0.5496666666666666]"
0,4,1,True,True,2000,0.0001668100537200059,0.5966666666666668,"[1e-06, 3.5938136638046257e-06, 1.2915496650148827e-05, 4.641588833612782e-05, 0.0001668100537200059, 0.0005994842503189409, 0.0021544346900318843, 0.007742636826811277, 0.02782559402207126, 0.1]","[0.5671666666666667, 0.5661666666666666, 0.5640000000000001, 0.5816666666666667, 0.5966666666666668, 0.5905, 0.5791666666666667, 0.5531666666666666, 0.5513333333333332, 0.5585000000000001]"
0,5,0,True,True,None,0.0005994842503189409,0.6153333333333334,"[1e-06, 3.5938136638046257e-06, 1.2915496650148827e-05, 4.641588833612782e-05, 0.0001668100537200059, 0.0005994842503189409, 0.0021544346900318843, 0.007742636826811277, 0.02782559402207126, 0.1]","[0.5708333333333333, 0.5681666666666667, 0.576, 0.5908333333333332, 0.6048333333333334, 0.6153333333333334, 0.5900000000000001, 0.5731666666666667, 0.5738333333333333, 0.5681666666666666]"
0,5,0,True,True,2000,0.0005994842503189409,0.6064999999999999,"[1e-06, 3.5938136638046257e-06, 1.2915496650148827e-05, 4.641588833612782e-05, 0.0001668100537200059, 0.0005994842503189409, 0.0021544346900318843, 0.007742636826811277, 0.02782559402207126, 0.1]","[0.58, 0.5831666666666666, 0.5861666666666666, 0.6023333333333333, 0.6013333333333334, 0.6064999999999999, 0.5941666666666667, 0.5749999999999998, 0.5781666666666666, 0.5723333333333332]"
